Cp       Points_0       Points_1       Points_2
-0.48489       0.408792       0.287904       1.25
-0.483604       0.415735       0.277785       1.25
-0.481287       0.422427       0.267499       1.25
-0.478638       0.428864       0.257051       1.25
-0.476636       0.435043       0.246449       1.25
-0.475461       0.440961       0.235698       1.25
-0.475103       0.446612       0.224806       1.25
-0.474635       0.451995       0.213778       1.25
-0.473204       0.457105       0.202621       1.25
-0.471347       0.46194       0.191342       1.25
-0.469311       0.466496       0.179948       1.25
-0.467599       0.470772       0.168445       1.25
-0.465529       0.474764       0.156841       1.25
-0.46242       0.47847       0.145142       1.25
-0.458101       0.481888       0.133356       1.25
-0.454132       0.485016       0.12149       1.25
-0.451057       0.487851       0.109551       1.25
-0.448092       0.490393       0.0975452       1.25
-0.445801       0.492639       0.085481       1.25
-0.445162       0.494588       0.0733652       1.25
-0.444055       0.49624       0.0612053       1.25
-0.44069       0.497592       0.0490086       1.25
-0.436091       0.498645       0.0367823       1.25
-0.432479       0.499398       0.0245338       1.25
-0.43069       0.499849       0.0122706       1.25
-0.430051       0.5       0       1.25
0.00286207       19.994       -0.490825       1.25
0.00286207       20       0       1.25
0.00286207       19.994       0.490825       1.25
0.0042931       19.9759       0.981354       1.25
0.00572414       19.9458       1.47129       1.25
0.00643965       19.9037       1.96034       1.25
0.00643965       19.8496       2.44821       1.25
0.00643965       19.7835       2.93461       1.25
0.00643965       19.7056       3.41924       1.25
0.00643965       19.6157       3.90181       1.25
0.00713813       19.514       4.38202       1.25
0.00713813       19.4006       4.8596       1.25
0.00713813       19.2755       5.33426       1.25
0.00713813       19.1388       5.80569       1.25
0.00713813       18.9906       6.27363       1.25
0.00713813       18.8309       6.7378       1.25
0.00713813       18.6599       7.1979       1.25
0.00713813       18.4776       7.65367       1.25
0.00713813       18.2842       8.10483       1.25
0.00713813       18.0798       8.5511       1.25
0.00713813       17.8645       8.99223       1.25
0.00785365       17.6384       9.42793       1.25
0.00785365       17.4017       9.85796       1.25
0.00785365       17.1546       10.2821       1.25
0.00821141       16.8971       10.7       1.25
0.00821141       16.6294       11.1114       1.25
0.00856917       16.3517       11.5162       1.25
0.00856917       16.0641       11.914       1.25
0.00856917       15.7669       12.3046       1.25
0.00928468       15.4602       12.6879       1.25
0.0100002       15.1442       13.0635       1.25
0.0100002       14.819       13.4312       1.25
0.0100002       14.4849       13.7908       1.25
0.0114312       14.1421       14.1421       1.25
0.0128623       13.7908       14.4849       1.25
0.0135778       13.4312       14.819       1.25
0.0142933       13.0635       15.1442       1.25
0.0150088       12.6879       15.4602       1.25
0.0157243       12.3046       15.7669       1.25
0.0164399       11.914       16.0641       1.25
0.0164399       11.5162       16.3517       1.25
0.0164399       11.1114       16.6294       1.25
0.0171554       10.7       16.8971       1.25
0.0178709       10.2821       17.1546       1.25
0.0178709       9.85796       17.4017       1.25
0.0178709       9.42793       17.6384       1.25
0.0185864       8.99223       17.8645       1.25
0.0192849       8.5511       18.0798       1.25
0.0192849       8.10483       18.2842       1.25
0.0192849       7.65367       18.4776       1.25
0.0200004       7.1979       18.6599       1.25
0.0207159       6.7378       18.8309       1.25
0.0207159       6.27363       18.9906       1.25
0.0207159       5.80569       19.1388       1.25
0.0214314       5.33426       19.2755       1.25
0.0217892       4.8596       19.4006       1.25
0.0217892       4.38202       19.514       1.25
0.022147       3.9018       19.6157       1.25
0.022147       3.41924       19.7056       1.25
0.022147       2.93461       19.7835       1.25
0.0228625       2.44821       19.8496       1.25
0.023578       1.96034       19.9037       1.25
0.023578       1.47129       19.9458       1.25
0.023578       0.981353       19.9759       1.25
0.023578       0.490823       19.994       1.25
0.023578       -8.74228e-07       20       1.25
0.023578       -0.490824       19.994       1.25
0.023578       -0.981355       19.9759       1.25
0.0232202       -1.47129       19.9458       1.25
0.0228625       -1.96034       19.9037       1.25
0.0232202       -2.44821       19.8496       1.25
0.023578       -2.93461       19.7835       1.25
0.023578       -3.41924       19.7056       1.25
0.023578       -3.90181       19.6157       1.25
0.023578       -4.38203       19.514       1.25
0.023578       -4.8596       19.4006       1.25
0.0242935       -5.33426       19.2755       1.25
0.0242935       -5.80569       19.1388       1.25
0.0242935       -6.27363       18.9906       1.25
0.025009       -6.7378       18.8309       1.25
0.0257245       -7.1979       18.6599       1.25
0.0257245       -7.65367       18.4776       1.25
0.0264401       -8.10483       18.2842       1.25
0.0264401       -8.5511       18.0798       1.25
0.0264401       -8.99223       17.8645       1.25
0.0264401       -9.42794       17.6384       1.25
0.0271556       -9.85796       17.4017       1.25
0.0278711       -10.2821       17.1546       1.25
0.0278711       -10.7       16.8971       1.25
0.0278711       -11.1114       16.6294       1.25
0.0278711       -11.5162       16.3517       1.25
0.0285866       -11.914       16.0641       1.25
0.0293021       -12.3046       15.7669       1.25
0.0293021       -12.6879       15.4602       1.25
0.0293021       -13.0635       15.1442       1.25
0.0293021       -13.4312       14.819       1.25
0.0293021       -13.7908       14.4849       1.25
0.0300176       -14.1421       14.1421       1.25
0.0307332       -14.4849       13.7908       1.25
0.0307332       -14.819       13.4312       1.25
0.0307332       -15.1442       13.0635       1.25
0.0307332       -15.4602       12.6879       1.25
0.0307332       -15.7669       12.3046       1.25
0.0314316       -16.0642       11.914       1.25
0.0321472       -16.3517       11.5162       1.25
0.0321472       -16.6294       11.1114       1.25
0.0321472       -16.8971       10.6999       1.25
0.0325049       -17.1546       10.2821       1.25
0.0325049       -17.4017       9.85796       1.25
0.0328627       -17.6384       9.42793       1.25
0.0328627       -17.8645       8.99223       1.25
